datetime,store,store_type,product,category,unit_price,quantity,total_price,customer_id,temperature,is_loyalty
01/01/24 06:00,Downtown,Mall,Espresso,Hot,3,3,9,4037,9.1,0
01/01/24 06:00,Uptown,Drive-Thru,Latte,Hot,4,1,4,3771,0.7,1
01/01/24 06:00,Downtown,Mall,Tea,Hot,2.5,3,7.5,1130,5.3,0
01/01/24 06:00,Uptown,Drive-Thru,Espresso,Hot,3,1,3,3298,15.4,0
01/01/24 07:00,Suburb-West,Standalone,Tea,Hot,2.5,1,2.5,1902,18.2,0
01/01/24 07:00,Downtown,Standalone,Cappuccino,Hot,4.5,2,9,3859,-5.2,0
01/01/24 09:00,Uptown,Mall,Cold Brew,Cold,4,2,8,4920,10.7,1
01/01/24 09:00,Downtown,Standalone,Tea,Hot,2.5,1,2.5,1396,-4.2,0
01/01/24 11:00,Suburb-West,Standalone,Iced Latte,Cold,4.5,1,4.5,4305,4,0
01/01/24 11:00,Suburb-West,Mall,Latte,Hot,4,3,12,4985,7.1,1
01/01/24 12:00,Suburb-West,Standalone,Iced Latte,Cold,4.5,2,9,4397,-2.7,0
01/01/24 12:00,Suburb-West,Drive-Thru,Cold Brew,Cold,4,2,8,3885,20.9,0
01/01/24 12:00,Uptown,Mall,Iced Latte,Cold,4.5,2,9,1326,-3.3,1
01/01/24 12:00,Suburb-East,Standalone,Iced Latte,Cold,4.5,3,13.5,2857,12,0
01/01/24 13:00,Uptown,Standalone,Frappuccino,Cold,5,2,10,2455,-0.1,0
01/01/24 13:00,Downtown,Mall,Cappuccino,Hot,4.5,2,9,3187,-5.8,1
01/01/24 13:00,Suburb-East,Drive-Thru,Tea,Hot,2.5,3,7.5,2105,5.4,1
01/01/24 13:00,Suburb-West,Mall,Cold Brew,Cold,4,1,4,3804,20.6,0
01/01/24 13:00,Uptown,Standalone,Espresso,Hot,3,1,3,4297,1.6,0
01/01/24 15:00,Downtown,Drive-Thru,Cold Brew,Cold,4,3,12,4740,4.9,1
01/01/24 15:00,Midtown,Drive-Thru,Cold Brew,Cold,4,3,12,3684,16.4,0
01/01/24 16:00,Suburb-East,Drive-Thru,Cappuccino,Hot,4.5,3,13.5,2084,0.9,0
01/01/24 16:00,Suburb-West,Drive-Thru,Iced Latte,Cold,4.5,3,13.5,4059,22.1,0
01/01/24 16:00,,Mall,Frappuccino,Cold,5,,10,1898,22.3,1
01/01/24 16:00,Suburb-West,Mall,Hot Chocolate,Hot,3.5,3,10.5,1372,-10.4,1
01/01/24 16:00,Uptown,Drive-Thru,Cappuccino,Hot,4.5,3,13.5,4244,20.7,0
01/01/24 16:00,Downtown,Standalone,Tea,Hot,2.5,2,5,2563,14.7,0
01/01/24 16:00,Suburb-West,Mall,Iced Latte,Cold,4.5,3,13.5,4977,17.4,0
01/01/24 17:00,Downtown,Mall,Iced Latte,,4.5,1,4.5,4148,11.5,0
01/01/24 17:00,Midtown,Drive-Thru,Tea,Hot,2.5,1,2.5,1647,8.9,0
01/01/24 17:00,Midtown,Drive-Thru,Cappuccino,Hot,4.5,1,4.5,3079,19,1
01/01/24 17:00,Midtown,Mall,Cold Brew,Cold,4,3,12,1626,10.2,0
01/01/24 18:00,Suburb-West,Mall,Espresso,Hot,3,3,9,3453,15,0
01/01/24 18:00,Downtown,Standalone,Frappuccino,Cold,5,2,10,4599,21.6,1
01/01/24 18:00,Uptown,Mall,Espresso,Hot,3,2,6,1986,6.6,1
01/01/24 18:00,Downtown,Drive-Thru,Hot Chocolate,Hot,3.5,3,10.5,4342,17.5,0
01/01/24 19:00,Uptown,Drive-Thru,Cappuccino,Hot,4.5,1,4.5,3702,,0
01/01/24 19:00,Uptown,Standalone,Iced Latte,Cold,4.5,2,9,3161,-0.2,1
01/01/24 20:00,Uptown,Drive-Thru,Cold Brew,Cold,4,3,12,3920,0.9,0
