datetime,date,hour,weekday,weekday_name,is_weekend,month,store,store_type,product,category,unit_price,quantity,total_price,customer_id,temperature,is_loyalty
2024-01-01 06:00:00,2024-01-01,6,0,Monday,0,1,Downtown,Mall,Espresso,Hot,3.0,3.0,9.0,4037,9.1,0
2024-01-01 06:00:00,2024-01-01,6,0,Monday,0,1,Uptown,Drive-Thru,Latte,Hot,4.0,1.0,4.0,3771,0.7,1
2024-01-01 06:00:00,2024-01-01,6,0,Monday,0,1,Downtown,Mall,Tea,Hot,2.5,3.0,7.5,1130,5.3,0
2024-01-01 06:00:00,2024-01-01,6,0,Monday,0,1,Uptown,Drive-Thru,Espresso,Hot,3.0,1.0,3.0,3298,15.4,0
2024-01-01 07:00:00,2024-01-01,7,0,Monday,0,1,Suburb-West,Standalone,Tea,Hot,2.5,1.0,2.5,1902,18.2,0
2024-01-01 07:00:00,2024-01-01,7,0,Monday,0,1,Downtown,Standalone,Cappuccino,Hot,4.5,2.0,9.0,3859,-5.2,0
2024-01-01 09:00:00,2024-01-01,9,0,Monday,0,1,Uptown,Mall,Cold Brew,Cold,4.0,2.0,8.0,4920,10.7,1
2024-01-01 09:00:00,2024-01-01,9,0,Monday,0,1,Downtown,Standalone,Tea,Hot,2.5,1.0,2.5,1396,-4.2,0
2024-01-01 11:00:00,2024-01-01,11,0,Monday,0,1,Suburb-West,Standalone,Iced Latte,Cold,4.5,1.0,4.5,4305,4.0,0
2024-01-01 11:00:00,2024-01-01,11,0,Monday,0,1,Suburb-West,Mall,Latte,Hot,4.0,3.0,12.0,4985,7.1,1
2024-01-01 12:00:00,2024-01-01,12,0,Monday,0,1,Suburb-West,Standalone,Iced Latte,Cold,4.5,2.0,9.0,4397,-2.7,0
2024-01-01 12:00:00,2024-01-01,12,0,Monday,0,1,Suburb-West,Drive-Thru,Cold Brew,Cold,4.0,2.0,8.0,3885,20.9,0
2024-01-01 12:00:00,2024-01-01,12,0,Monday,0,1,Uptown,Mall,Iced Latte,Cold,4.5,2.0,9.0,1326,-3.3,1
2024-01-01 12:00:00,2024-01-01,12,0,Monday,0,1,Suburb-East,Standalone,Iced Latte,Cold,4.5,3.0,13.5,2857,12.0,0
2024-01-01 13:00:00,2024-01-01,13,0,Monday,0,1,Uptown,Standalone,Frappuccino,Cold,5.0,2.0,10.0,2455,-0.1,0
2024-01-01 13:00:00,2024-01-01,13,0,Monday,0,1,Downtown,Mall,Cappuccino,Hot,4.5,2.0,9.0,3187,-5.8,1
2024-01-01 13:00:00,2024-01-01,13,0,Monday,0,1,Suburb-East,Drive-Thru,Tea,Hot,2.5,3.0,7.5,2105,5.4,1
2024-01-01 13:00:00,2024-01-01,13,0,Monday,0,1,Suburb-West,Mall,Cold Brew,Cold,4.0,1.0,4.0,3804,20.6,0
2024-01-01 13:00:00,2024-01-01,13,0,Monday,0,1,Uptown,Standalone,Espresso,Hot,3.0,1.0,3.0,4297,1.6,0
2024-01-01 15:00:00,2024-01-01,15,0,Monday,0,1,Downtown,Drive-Thru,Cold Brew,Cold,4.0,3.0,12.0,4740,4.9,1
2024-01-01 15:00:00,2024-01-01,15,0,Monday,0,1,Midtown,Drive-Thru,Cold Brew,Cold,4.0,3.0,12.0,3684,16.4,0
2024-01-01 16:00:00,2024-01-01,16,0,Monday,0,1,Suburb-East,Drive-Thru,Cappuccino,Hot,4.5,3.0,13.5,2084,0.9,0
2024-01-01 16:00:00,2024-01-01,16,0,Monday,0,1,Suburb-West,Drive-Thru,Iced Latte,Cold,4.5,3.0,13.5,4059,22.1,0
2024-01-01 16:00:00,2024-01-01,16,0,Monday,0,1,Suburb-West,Mall,Hot Chocolate,Hot,3.5,3.0,10.5,1372,-10.4,1
2024-01-01 16:00:00,2024-01-01,16,0,Monday,0,1,Uptown,Drive-Thru,Cappuccino,Hot,4.5,3.0,13.5,4244,20.7,0
2024-01-01 16:00:00,2024-01-01,16,0,Monday,0,1,Downtown,Standalone,Tea,Hot,2.5,2.0,5.0,2563,14.7,0
2024-01-01 16:00:00,2024-01-01,16,0,Monday,0,1,Suburb-West,Mall,Iced Latte,Cold,4.5,3.0,13.5,4977,17.4,0
2024-01-01 17:00:00,2024-01-01,17,0,Monday,0,1,Midtown,Drive-Thru,Tea,Hot,2.5,1.0,2.5,1647,8.9,0
2024-01-01 17:00:00,2024-01-01,17,0,Monday,0,1,Midtown,Drive-Thru,Cappuccino,Hot,4.5,1.0,4.5,3079,19.0,1
2024-01-01 17:00:00,2024-01-01,17,0,Monday,0,1,Midtown,Mall,Cold Brew,Cold,4.0,3.0,12.0,1626,10.2,0
2024-01-01 18:00:00,2024-01-01,18,0,Monday,0,1,Suburb-West,Mall,Espresso,Hot,3.0,3.0,9.0,3453,15.0,0
2024-01-01 18:00:00,2024-01-01,18,0,Monday,0,1,Downtown,Standalone,Frappuccino,Cold,5.0,2.0,10.0,4599,21.6,1
2024-01-01 18:00:00,2024-01-01,18,0,Monday,0,1,Uptown,Mall,Espresso,Hot,3.0,2.0,6.0,1986,6.6,1
2024-01-01 18:00:00,2024-01-01,18,0,Monday,0,1,Downtown,Drive-Thru,Hot Chocolate,Hot,3.5,3.0,10.5,4342,17.5,0
2024-01-01 19:00:00,2024-01-01,19,0,Monday,0,1,Uptown,Drive-Thru,Cappuccino,Hot,4.5,1.0,4.5,3702,10.168341708542714,0
2024-01-01 19:00:00,2024-01-01,19,0,Monday,0,1,Uptown,Standalone,Iced Latte,Cold,4.5,2.0,9.0,3161,-0.2,1
2024-01-01 20:00:00,2024-01-01,20,0,Monday,0,1,Uptown,Drive-Thru,Cold Brew,Cold,4.0,3.0,12.0,3920,0.9,0
2024-01-01 20:00:00,2024-01-01,20,0,Monday,0,1,Midtown,Mall,Hot Chocolate,Hot,3.5,3.0,10.5,4684,1.8,0
2024-01-02 06:00:00,2024-01-02,6,1,Tuesday,0,1,Uptown,Drive-Thru,Cold Brew,Cold,4.0,1.0,4.0,1262,1.5,0
2024-01-02 06:00:00,2024-01-02,6,1,Tuesday,0,1,Suburb-West,Mall,Cold Brew,Cold,4.0,3.0,12.0,3410,1.8,0
2024-01-02 06:00:00,2024-01-02,6,1,Tuesday,0,1,Downtown,Standalone,Cold Brew,Cold,4.0,2.0,8.0,1276,2.4,1
2024-01-02 07:00:00,2024-01-02,7,1,Tuesday,0,1,Downtown,Mall,Cold Brew,Cold,4.0,1.0,4.0,2140,14.6,0
2024-01-02 07:00:00,2024-01-02,7,1,Tuesday,0,1,Suburb-West,Drive-Thru,Cappuccino,Hot,4.5,1.0,4.5,3962,4.3,1
2024-01-02 07:00:00,2024-01-02,7,1,Tuesday,0,1,Suburb-West,Standalone,Hot Chocolate,Hot,3.5,2.0,7.0,1995,5.8,1
2024-01-02 07:00:00,2024-01-02,7,1,Tuesday,0,1,Uptown,Standalone,Latte,Hot,4.0,2.0,8.0,1397,17.7,0
2024-01-02 08:00:00,2024-01-02,8,1,Tuesday,0,1,Suburb-East,Mall,Tea,Hot,2.5,2.0,5.0,2912,-1.5,1
2024-01-02 08:00:00,2024-01-02,8,1,Tuesday,0,1,Downtown,Mall,Espresso,Hot,3.0,2.0,6.0,2649,22.2,1
